P00001606T0076|14 37|alkaline phosphatases and 5
P01457695T0000|9 13|beta 2
P01458170A0155|115 117|EEG
P01459447A0484|36 51|full-length genes
P01459447A0484|57 75|yeast genomic library
P01459451A0478|42 56|auxiliary factor
P01459885A0705|93 98|alpha 1
P01460054A0478|9 13|ICSBP
P01460054A0478|105 120|DNA binding domain
P01460054A0478|152 164|amino terminus
P01460054A0478|9 11|ICS
P01460054A0968|10 14|ICSBP
P01460054A0968|96 113|hematopoietic cells
P01460054A0968|76 93|IFN-inducible genes
P01464606A0344|19 37|alpha 5 beta 1 integrin
P01464606A0344|102 132|fibronectin cell-binding fragment
P01468625A0282|16 19|LEU2
P01468625A0282|23 31|HIS3 cDNAs
P01468625A1080|11 14|ACT1
P01469042A0355|5 14|CENP-B gene
P01469042A0355|28 57|mammalian species and CENP-B boxes
P01469047A1606|27 36|tail domain
P01469047A1606|132 156|glutamic acid decarboxylase
P01471602A0362|113 119|HMG-CoA
P01474990A0000|1 12|genomic clone
P01474990A0000|172 187|epimastigote cDNA
P01474990A0000|14 18|pTt21
P01478672A0795|37 53|alpha satellite DNA
P01478672A0795|63 86|low-copy repeated sequence
P01480183A0000|25 44|human lactoferrin gene
P01482912A0617|38 40|HL7
P01485648A0000|139 168|allergen-specific IgE antibodies
P01486836A0774|112 113|T1
P01486836A0774|140 141|T2
P01487144A0505|65 97|536 bp of downstream flanking sequence
P01487144A0505|136 147|myeloma cells
P01487144A0505|151 166|L cell fibroblasts
P01487144A0505|107 129|transcription terminator
P01493864A0619|75 83|GBR-12909
P01495069A0392|92 95|DFAT
P01498607A0000|4 27|short nucleotide sequences
P01498607A0000|79 109|parsley chalcone synthase promoter
P01499213A0185|141 142|L2
P01502157A0000|61 100|c-MYC P1 and P2 transcription initiation sites
P01505488A0231|41 43|EVL
P01505516A0928|87 108|disulfide-linked dimers
P01512259A0867|104 110|Dfurin2
P01516829A0113|23 26|SNF2
P01516829A0113|36 39|SNF6
P01516829A0113|108 125|heteromeric complex
P01516829A0113|28 31|SNF5
P01516829A0460|10 18|LexA-GAL4
P01516829A0460|65 68|SNF2
P01516829A0460|78 81|SNF6
P01516829A0460|131 143|lexA operators
P01516829A0460|97 107|target genes
P01516829A0460|70 73|SNF5
P01516829A0460|22 46|LexA-Bicoid fusion proteins
P01518833A0397|1 21|lambda gt10 cDNA library
P01518849A0165|5 7|PR3
P01518849A0165|77 100|connective-tissue protein
P01525153A0359|13 18|T2AG3T
P01525153A0359|42 60|G-quadruplex monomer
P01525153A0359|25 29|T2G4T
P01526658A0454|0 8|IFI 16 mRNA
P01526658A0454|82 94|T and B lineages
P01526658A0454|46 58|lymphoid cells
P01526690T0000|36 46|lymphocytes
P01527020A0511|0 19|Exon-intron junctions
P01527020A0511|94 99|exons 6
P01527020A0511|140 146|rat gene
P01527020A0511|109 117|human gene
P01527020A0511|25 59|human and rat AdoMet decarboxylase genes
P01529530T0000|92 116|ISGF3 transcription complex
P01531086A0127|3 6|cDNA
P01531086A0127|12 27|open reading frame
P01531632A0000|82 90|nucleolin
P01531632A0000|111 114|NSR1
P01531632A0000|149 157|GAR domain
P01531632A0000|104 107|SSB1
P01532229A1264|41 56|ubiquitous factor
P01532229A1264|58 61|HF-1
P01532229A1264|161 189|ventricular cardiac muscle cells
P01532229A1264|87 91|MEF-2
P01532229A1264|68 79|muscle factor
P01532796A0107|57 58|F1
P01532796A0107|70 89|alpha and beta subunits
P01535242A0557|36 40|M-CSF
P01535242A0557|80 88|c-fms mRNA
P01535242A0557|43 48|GM-CSF
P01536153A0574|195 197|IgE
P01536575A1213|43 52|-403 to -385
P01536575A1213|152 172|cytochrome P450IA1 gene
P01536575A1213|174 179|CYPIA1
P01536575A1213|64 86|dioxin responsive element
P01537334A0507|15 19|TRP-2
P01537334A0507|26 42|mouse chromosome 14
P01537845A0571|14 30|murine c-myb clones
P01537845A0571|51 59|c-myb gene
P01538401A1244|59 67|5 S RNA gene
P01538401A1244|158 169|DNA fragments
P01538403A1058|28 70|eUSF and TFIID-depleted transcription complexes
P01538403A1058|184 193|H5 promoter
P01538403A1058|213 220|TATA-box
P01538403A1058|35 39|TFIID
P01539996A0588|38 57|T. thermophilus enzyme
P01539996A0588|276 284|C terminus
P01539996A0588|38 57|T. thermophilus enzyme
P01539996A0588|193 204|E. coli enzyme
P01541556A1040|47 60|mutated protein
P01541556A1040|101 106|Cys-22
P01542565A0220|13 22|L12 protein
P01542565A0220|50 67|ribosomal protein L7
P01542565T0000|0 44|Nuclear-encoded chloroplast ribosomal protein L12
P01542565T0000|128 137|cDNA clones
P01542565T0000|149 168|cytoplasmic precursor
P01542565T0000|82 94|mature protein
P01542667A0125|15 23|IFN-gamma
P01542667A0125|156 177|IFN-gamma-encoding gene
P01542667A0125|53 75|intronic enhancer element
P01542686A0000|46 84|Rel-related human p75 nucleoprotein complex
P01543909A0787|30 38|K562 cells
P01543909A0787|201 215|ferritin subunit
P01543909A0787|44 57|Lg genomic clone
P01544854A0699|29 37|WR-168643
P01544918A1240|23 31|R subunits
P01544928A1252|15 32|genomic DNA sequence
P01545523A0000|86 101|rheumatoid factor
P01545523A0000|105 121|antistreptolysin O
P01545787A0345|9 21|human enhancer
P01545787A0345|89 94|NFAT-1
P01545787A0345|98 104|NFIL-2B
P01545787A0345|72 77|DNase I
P01545792A0000|62 99|positive and negative cis-acting sequences
P01545792A0492|87 95|MLC-2 gene
P01545797A0587|43 50|SLK1 gene
P01545797A0587|52 55|slk1
P01545806T0000|67 72|REC102
P01545806T0000|83 86|MER2
P01545806T0000|76 81|REC107
P01545818A0696|3 6|p130
P01545818A0696|57 64|v-Src SH2
P01545818A0696|97 123|v-src-transformed Rat-2 cells
P01545818A0696|159 172|v-Src SH2 domain
P01545818A0696|57 61|v-Src
P01545818A0696|10 43|p62 tyrosine-phosphorylated proteins
P01546522A0000|49 51|PML
P01547775A1024|122 144|RNA template-binding site
P01547775A1024|150 162|PLRV replicase
P01547942A0120|29 46|dimerization domain
P01547942A0120|121 127|CHOP-10
P01547942A0120|99 119|EBP-homologous protein
P01547957A1083|57 76|N-terminal aa sequence
P01547957A1083|150 153|CYP2
P01547957A1083|259 272|GL81 genomic DNA
P01547957A1083|185 188|CYP3
P01547957A1083|143 146|CYP1
P01548756A1102|24 28|EHS-1
P01548756A1102|72 80|EHS-1 loci
P01549118A0000|24 40|vitellogenin genes
P01549123A0480|3 10|MET4 gene
P01549123A0480|86 114|bZIP transcriptional activators
P01549125A0140|35 41|insulin
P01549125A0140|51 65|beta GK promoters
P01549125A0140|43 46|IAPP
P01549129A0356|121 123|Src
P01549346A0000|3 20|c-Ets-1 oncoprotein
P01549465A0122|83 85|Gly
P01551176A0000|0 7|GR63178A
P01551568A1476|61 64|rpoB
P01551568A1476|79 87|Rif domain
P01551898A1084|84 96|mature protein
P01551898A1084|116 119|LAPP
P01551910A0313|117 136|transcription factors
P01551910A0978|23 50|novel protein-binding sequence
P01552457T0000|96 100|PT-01
P01552853A1377|19 22|virF
P01554334A0000|37 45|IFN-gamma
P01556068A0000|26 29|maoA
P01556068A0000|62 77|monoamine oxidase
P01557411A1282|8 19|human D1A gene
P01557411A1282|80 105|housekeeping-type promoters
P01560021A0379|68 70|AE3
P01560021A0379|109 115|rat gene
P01560774A0885|3 21|1.7 kb cloned fragment
P01560774A0885|60 67|fliA gene
P01562659A0676|61 73|amphotericin B
P01563343A0548|55 65|CAB promoter
P01563343A0548|69 88|operator-free plasmid
P01563635T0000|51 71|infI methyltransferase
P01569015A0120|49 65|open reading frames
P01569015A0120|67 70|ORFs
P01569102A0708|0 7|Domain II
P01569102A0708|31 41|LDL receptor
P01569581A0482|61 84|100 nucleotides downstream
P01569584A0672|29 33|6F6.2
P01569584A0672|29 33|6F6.2
P01569584A0672|132 146|alpha-type genes
P01569584A0672|73 85|m6F6 cDNA clone
P01569945A0529|3 10|SEN1 gene
P01572549A0000|0 21|Protein tyrosine kinases
P01572549A0000|110 128|retroviral oncogenes
P01572549A0000|168 188|growth factor receptors
P01572549A0000|23 26|PTKs
P01573270A0000|3 8|IA4 mAb
P01573270A0000|54 57|BALB
P01577740A1111|29 38|S1 nuclease
P01577740A1111|63 90|transcription initiation sites
P01577819A0709|10 29|PRP-precursor alleles
P01579472A1018|16 30|enhancer element
P01581577A1186|0 4|PSI-G
P01581577A1186|56 68|ancestral gene
P01581577A1186|8 12|PSI-K
P01581965A0388|5 14|C-terminus
P01581965A0388|137 139|GAP
P01581965A0388|200 206|GTPases
P01581965A0388|120 129|n-chimerin
P01582413A0192|49 63|basic amino acids
P01582413A0192|132 140|HLH domain
P01582413A0192|71 90|conserved basic region
P01582413A0759|14 18|Myf-5
P01582413A0759|47 60|bHLH protein E12
P01583819A0377|0 2|SEA
P01584812T0000|89 124|zinc-finger transcription factor NGFI-C
P01585014A0000|421 425|FSH-P
P01587267A1144|124 138|clostridial gene
P01588315A0356|33 38|OpMNPV
P01588315A0356|111 124|polyhedrin gene
P01588913A0000|20 42|Escherichia coli dnaA gene
P01588961A0000|0 3|STP1
P01588963A1153|77 88|Cdc25 protein
P01588965A0000|0 7|GCR1 gene
P01594554A0845|41 43|CCK
P01594554A0845|47 63|trypsin inhibitors
P01596007A0908|36 41|I and II
P01596007A0908|83 89|gamma OH
P01597170A0000|37 42|m3 Co2+
P01597462A0457|26 30|CDC14
P01597462A0457|35 47|essential gene
P01601869A1389|59 78|E-box flanked upstream
P01601869A1389|162 188|postconfluent BC3H1 myoblasts
P01601869A1389|82 102|mammalian-specific 352
P01603088A1121|24 46|baculovirus-expressed TR
P01612085A0624|3 21|serum erythropoietin
P01612085A0624|23 25|EPO
P01615182A0206|108 119|bromhexeine 8
P01615493A0975|80 87|thrombin
P01616475A0756|48 49|CP
P01617242T0000|17 29|growth factors
P01618027A1108|95 114|wild-type E10 fragment
P01619114A0383|35 38|SMSP
P01620118A0470|5 18|mutant proteins
P01620118A0470|186 198|lymphoid cells
P01620118A0470|104 147|human immunodeficiency virus long terminal repeat
P01620129A0417|33 51|nuclear factor HiNF-D
P01620129A0417|125 142|normal diploid cells
P01620129A0417|63 85|proximal promoter element
P01620610A1070|141 167|periShine-Dalgarno sequences
P01624425A0907|0 15|Wild-type protein
P01626430A1112|20 24|RAD16
P01626430A1112|34 37|SNF2
P01626430A1112|87 109|yeast and Drosophila genes
P01626430A1112|26 30|RAD54
P01627828A0475|37 44|mouse DNA
P01627828A0475|156 162|SmN gene
P01627828A0475|49 57|SmN probes
P01627830A0000|3 7|cDNAs
P01627830A0000|51 66|yeast cDNA library
P01627830A0000|83 86|CKI2
P01627830A0000|76 79|CKI1
P01627830A0000|16 29|casein kinase-1
P01628806A1347|44 46|ORF
P01628806A1347|91 112|putative helicase region
P01630454A0635|55 66|Act1 promoter
P01630455A0448|27 37|NFIL-1 beta A
P01630455A0448|121 132|TATA box motif
P01630455A0448|142 168|human and murine IL-1 beta genes
P01630455A0448|39 45|NF beta A
P01630569A0605|21 23|AmB
P01633435A0743|3 21|DRF-2 nuclear protein
P01633435A0743|91 95|MEF-2
P01633435A0743|59 89|muscle-specific regulatory factor
P01633816A0667|22 34|EcoRI fragment
P01633816A0667|95 101|opn gene
P01633816A0667|183 192|S1 nuclease
P01633816A0667|121 144|transcriptional start site
P01633816A0667|56 60|exons
P01639724A0452|60 70|Nordette-28
P01642060A0471|121 127|FIGO III
P01644751A0590|4 19|open reading frame
P01644751A0590|100 114|msgB gene product
P01644814A0068|30 32|tax
P01644814A0068|72 77|T cells
P01644821A1259|58 60|CAT
P01644821A1259|92 108|upstream sequences
P01644821A1259|140 156|proximal sequences
P01644821A1259|110 119|-834 to -576
P01644821A1259|71 81|fusion genes
P01644831A0824|27 42|carboxyl terminus
P01644831A0824|118 133|nuclear receptors
P01644831A0824|27 42|carboxyl terminus
P01644831A0824|55 60|NGFI-B
P01645902A1462|37 45|Syn 5 locus
P01645902A1462|114 127|TK and UL 24 genes
P01645902A1462|77 78|gH
P01645905A0341|88 89|Mr
P01645905A0341|134 143|C-terminus
P01646157A0414|29 52|alpha-GalNAc cDNA sequence
P01646487A0874|73 75|IgA
P01646487A0874|81 83|IgM
P01646487A0874|127 137|neutrophils
P01646487A0874|85 100|T and B lymphocytes
P01646487A0874|77 79|IgG
P01646753A0336|114 116|N2O
P01646753A0336|114 116|N2O
P01646753A0336|114 116|N2O
P01647070A0232|0 20|All mutant JCV T antigens
P01647070A0232|9 11|JCV
P01647656A0000|18 50|myocardial beta-adrenergic receptor
P01648142A1170|45 58|alternating arm
P01648142A1170|133 137|PE arm
P01648142A1170|101 106|CAV arm
P01648530A0000|27 72|muscle-specific Xenopus cardiac actin gene promoter
P01648530A0000|126 161|cardiac actin-beta-globin reporter gene
P01649173A0160|51 92|attenuator 1 situated 93 nucleotides downstream
P01649173A0160|170 192|55 nucleotides downstream
P01649173A0160|100 130|major late transcription start site
P01649318A0734|0 5|EBNA-2
P01649318A0734|42 56|TK-promoted mRNA
P01649318A0734|74 123|herpes simplex virus TK promoter transcription start site
P01649318A0734|12 32|cis-acting CD23 element
P01649318A1222|33 38|EBNA-2
P01649318A1222|126 134|cell genes
P01649318A1222|33 38|EBNA-2
P01649539T0000|29 43|myeloperoxidase
P01649835A0822|31 37|IBP cDNA
P01649835A0822|154 156|Ro5
P01649835A0822|42 51|COS-7 cells
P01650524A0837|140 144|BW A4C
P01650524A0837|156 164|ICI 207 968
P01650557T0000|61 83|cytomegalovirus antibody
P01651232A0152|0 7|Each mRNA
P01651232A0152|85 87|UTP
P01651918A0000|40 52|cDNA fragments
P01652372A0153|16 19|SWI5
P01652372A0153|108 126|heterologous protein
P01652372A0153|48 50|NLS
P01652755A1492|43 51|HeLa cells
P01652755A1492|119 120|RB
P01652755A1492|155 158|IL-6
P01652755A1492|171 175|c-fos
P01652755A1492|93 110|susceptibility gene
P01653173A0619|44 60|E2 DNA-binding site
P01653173A0619|143 160|HPV-18 P105 promoter
P01653173A0619|85 103|P105 promoter TATA box
P01653236A0895|14 16|p50
P01653236A0895|64 69|L cells
P01653236A0895|116 139|Chinese hamster ovary cells
P01653236A0895|40 61|glucocorticoid receptor
P01653236A0895|40 61|glucocorticoid receptor
P01653238A1062|104 126|transcription factor AP-1
P01653238A1062|222 235|promoter region
P01653238A1062|131 147|consensus sequence
P01653238A1715|6 14|TGF-beta 1
P01654349A0327|38 43|NaHCO3
P01655126T0000|87 89|HBr
P01656220T0000|5 20|transforming gene
P01656220T0000|79 100|receptor tyrosine kinase
P01656220T0000|33 64|primary human myeloid leukemia cells
P01656221A1319|141 150|FGFR family
P01656235A0946|83 92|CCAAT motif
P01657246A0325|3 29|transcription initiation site
P01657246A0325|50 61|66 bp upstream
P01657249A1019|38 51|VH4 heavy chains
P01657249A1019|38 40|VH4
P01657249A1019|38 40|VH4
P01657415A0837|0 13|Intron K1 cox1.2
P01657969A1420|157 166|calmodulin
P01658356A1369|179 196|FeLV-specific mRNAs
P01658356T0000|54 74|endogenous env elements
P01658375A0854|3 21|nucleotide sequences
P01658375A0854|93 123|eukaryotic protein-encoding genes
P01658375A0854|172 180|LAT intron
P01658375A0854|45 51|introns
P01658741A1047|47 64|nucleotide sequence
P01658741A1047|93 101|ADE 1 locus
P01659685T0000|60 61|Dd
P01660486A1756|173 175|PKC
P01660925T0000|98 111|consensus boxes
P01661369A0825|13 28|strD and strE genes
P01662794A0640|15 21|wt1 gene
P01662794A0640|67 78|52 kDa protein
P01662794A0640|48 57|COS-1 cells
P01662807A1182|24 33|TR promoter
P01671675A0483|17 21|pKB11
P01671675A0483|160 177|entire cDNA sequence
P01671675A0483|71 77|pCAD142
P01671675A0905|76 82|CAD gene
P01673220A0578|22 41|genomic and cDNA clones
P01674242A0358|452 461|interferon
P01674817A0862|25 29|RNA14
P01674817A0862|25 29|RNA14
P01674817A0862|33 37|RNA15
P01674817T0000|14 36|yeast RNA14 and RNA15 genes
P01674817T0000|116 127|RNA15 protein
P01674817T0000|94 110|RNA-binding domain
P01675424A0991|67 82|NADH-NR sequences
P01675424A0991|104 132|pyridine nucleotide binding site
P01675637T0033|31 46|C-terminal region
P01675637T0033|84 96|receptor dimer
P01675763A1389|37 40|CD4+
P01678287A1308|10 37|human Antp TATAA binding protein
P01678287A1308|101 112|homeobox gene
P01678287A1308|176 190|eukaryotic cells
P01678287A1308|55 82|lymphoid and non-lymphoid cells
P01679749A1171|21 37|proteoglycan locus
P01679749A1171|77 81|RFLPs
P01679749A1171|136 156|HSPG2 proteoglycan gene
P01679749A1171|43 53|human genome
P01682509A0539|30 43|IE proteins IE86
P01682509A0539|53 56|IE55
P01682509A0539|97 106|T-cell line
P01682509A0539|108 113|HUT-78
P01682509A0539|88 93|HIV LTR
P01682509A0539|45 48|IE72
P01684791A0000|3 19|cis-acting element
P01684791A0000|60 89|chicken glutamine synthetase gene
P01687050T0000|51 53|IgG
P01688841A0430|12 19|six genes
P01688841A0430|26 29|ipaC
P01688841A0430|36 39|invG
P01688841A0430|49 52|invK
P01688841A0430|81 101|positive regulator virF
P01688841A0430|41 44|invJ
P01688841A0430|31 34|invE
P01688841A0430|21 24|ipaB
P01690728A1166|29 49|mature mRNA transcripts
P01690728A1166|77 92|human fibroblasts
P01690728A1166|129 130|S1
P01690728A1166|51 70|3.2-3.5 kilobase pairs
P01690812A0000|96 124|28 S RNA ribosomal gene insertions
P01691184A0995|3 4|b3
P01691184A0995|127 142|precursor protein
P01692135A0783|11 34|rtFc gamma R alpha cDNA clone
P01692135A0783|93 104|CRNK-16 cells
P01692135A0783|164 194|human and mouse natural killer cells
P01692135A0783|126 152|Fc gamma R-related mRNA species
P01692135A0783|62 81|different-sized mRNAs
P01692837A0390|22 26|exons
P01692837A0390|31 37|introns
P01692962A0980|126 152|cAMP-dependent protein kinase
P01694009A0112|18 22|exon 0
P01694009A0112|68 91|N-terminal signal sequence
P01694009A0112|36 61|entire 5' untranslated region
P01694014A0716|11 36|human myeloid cell lines HL-60
P01694014A0716|118 142|RNA hybridizable to LD78 cDNA
P01694014A0716|40 43|U937
P01694525A0000|0 22|Isopenicillin N isomerase
P01694525A0000|106 115|N-terminus
P01695098A1116|5 7|IgG
P01695116A0078|45 47|CR1
P01695322A0000|0 4|Wnt-1
P01695322A0000|15 30|cellular oncogene
P01695322A0000|6 10|int-1
P01695378A1406|11 30|Jurkat leukemic T cells
P01695378A1406|98 105|FKBP mRNA
P01695905A0480|0 8|GLUT5 mRNA
P01697683T0000|38 45|promoter
P01697683T0000|52 65|cytotactin gene
P01697928A1214|57 61|Ly-6E
P01697928A1214|94 129|interferon-stimulated response element
P01698761A1059|83 107|carboxy-terminal histone H1
P01698761A1059|124 127|AlgP
P01699944A1538|59 80|CArG box binding proteins
P01699944A1538|137 140|VLC1
P01699944A1538|164 173|c-fos genes
P01699944A1538|149 159|alpha-actin
P01699944A1538|117 131|promoter element
P01700272A0838|17 21|B4 RNA
P01701088A1335|19 36|regulatory elements
P01701088A1335|77 84|CCAAT box
P01701088A1335|64 74|AP-2 element
P01702361A0621|35 42|collagen
P01702426A0196|128 153|avian fatty acid synthase gene
P01702426A1006|9 18|cDNA clones
P01702426A1006|100 101|5'
P01702426A1006|81 91|cDNA library
P01702972A0613|7 10|cDNA
P01702972A0613|67 76|G0S19 genes
P01702972A0613|131 139|G0S30 cDNA
P01702972A0613|155 170|single-copy genes
P01702972A0613|116 120|cDNAs
P01702972A0613|51 64|small subfamily
P01703632T0000|3 33|Drosophila suppressor of sable gene
P01703632T0000|80 98|RNA-binding proteins
P01707659A0458|60 64|HLA-5
P01707659A0458|76 89|chimpanzee gene
P01707800A0354|11 13|N13
P01707800A0354|15 17|N20
P01707800A0354|138 140|N11
P01708098A0922|5 24|avidin-biotin complex
P01708098A0922|141 142|GR
P01708098A0922|159 180|GRE avidly bound receptor
P01708098A0922|62 86|alpha promoter DNA sequences
P01708771A1215|52 57|Asn120
P01708771A1215|132 136|Asn72
P01708771A1215|73 77|Asn65
P01708774A0203|24 27|AP-1
P01708774A0203|51 72|proximal promoter region
P01709486A0000|48 61|proto-oncogene
P01709486A0000|63 67|c-kit
P01709933T0000|33 50|rat chromosomal gene
P01709933T0000|67 69|pS1
P01710766A0349|72 90|amino acids C terminal
P01710766A0349|96 123|translational initiation codon
P01710768A1172|123 132|HLA-B7 gene
P01710768A1172|167 181|gamma interferon
P01710979T0000|3 18|SH2 and SH3 domains
P01710979T0000|55 88|tyrosine phosphorylated proteins p130
P01710979T0000|92 95|p110
P01710979T0000|21 24|pp60
P01711041A0348|36 49|structural gene
P01711041A0348|93 102|beta-chain
P01711041A0962|3 15|C5 alpha-chain
P01711041A0962|60 69|beta-chain
P01711041A0962|103 109|16 exons
P01711041A0962|49 55|26 exons
P01711048T0000|38 45|intron 33
P01711048T0000|69 74|COL1A2
P01713213A0000|37 60|human pim-1 proto-oncogene
P01713213A0000|133 148|human Pim-1 enzyme
P01713213A0000|100 122|threonine protein kinases
P01713213A0488|1 25|full-length human pim-1 cDNA
P01713213A0488|148 150|GST
P01713213A0488|73 84|Pim-1 protein
P01714452A0559|15 26|human protein
P01714452A0559|41 58|tandem repeat domain
